          Chi2  &     Mean &Sigma Mean&   Error  & Sigma Error  
 26.2821 &  -0.0002 &   0.0023 &   0.0021 &   0.0000 \\ 
 26.2821 &   0.0000 &   0.0020 &   0.0021 &   0.0000 \\ 
 26.2821 &   0.0005 &   0.0022 &   0.0021 &   0.0000 \\ 
 26.0858 &  -0.0003 &   0.0019 &   0.0022 &   0.0000 \\ 
 26.0858 &   0.0003 &   0.0022 &   0.0022 &   0.0000 \\ 
 26.0858 &  -0.0002 &   0.0022 &   0.0022 &   0.0000 \\ 
 26.0858 &   0.0001 &   0.0024 &   0.0022 &   0.0000 \\ 
 24.9822 &   0.0003 &   0.0041 &   0.0039 &   0.0000 \\ 
 24.9822 &  -0.0000 &   0.0037 &   0.0039 &   0.0000 \\ 
 24.9822 &  -0.0001 &   0.0037 &   0.0039 &   0.0000 \\ 
 24.9822 &   0.0003 &   0.0043 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    32 
 27.0058 &  -0.0002 &   0.0019 &   0.0021 &   0.0000 \\ 
 27.0058 &   0.0003 &   0.0020 &   0.0021 &   0.0000 \\ 
 27.0058 &   0.0003 &   0.0020 &   0.0021 &   0.0000 \\ 
 27.0058 &  -0.0002 &   0.0022 &   0.0021 &   0.0000 \\ 
 26.2921 &   0.0003 &   0.0021 &   0.0022 &   0.0000 \\ 
 26.2921 &  -0.0000 &   0.0022 &   0.0022 &   0.0000 \\ 
 26.2921 &   0.0001 &   0.0024 &   0.0022 &   0.0000 \\ 
 26.2921 &   0.0001 &   0.0020 &   0.0022 &   0.0000 \\ 
 27.8533 &  -0.0002 &   0.0038 &   0.0039 &   0.0000 \\ 
 27.8533 &  -0.0003 &   0.0037 &   0.0039 &   0.0000 \\ 
 27.8533 &  -0.0005 &   0.0038 &   0.0039 &   0.0000 \\ 
 27.8533 &  -0.0002 &   0.0038 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    33 
 28.1478 &  -0.0000 &   0.0021 &   0.0021 &   0.0000 \\ 
 28.1478 &   0.0006 &   0.0020 &   0.0021 &   0.0000 \\ 
 28.1478 &   0.0000 &   0.0022 &   0.0021 &   0.0000 \\ 
 28.1478 &  -0.0003 &   0.0021 &   0.0021 &   0.0000 \\ 
 28.5717 &   0.0002 &   0.0020 &   0.0022 &   0.0000 \\ 
 28.5717 &   0.0001 &   0.0021 &   0.0022 &   0.0000 \\ 
 28.5717 &   0.0001 &   0.0022 &   0.0022 &   0.0000 \\ 
 28.5717 &   0.0006 &   0.0021 &   0.0022 &   0.0000 \\ 
 28.7202 &  -0.0001 &   0.0041 &   0.0039 &   0.0000 \\ 
 28.7202 &   0.0001 &   0.0035 &   0.0039 &   0.0000 \\ 
 28.7202 &  -0.0000 &   0.0034 &   0.0039 &   0.0000 \\ 
 28.7202 &   0.0007 &   0.0041 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    34 
 29.3168 &   0.0001 &   0.0020 &   0.0021 &   0.0000 \\ 
